seller,time_ago,title,price,condition,url
phone_recycle,1 hour ago,Redmi 13C 4G 128GB 黑色 板橋 X1931,2500,Lightly used,https://tw.carousell.com/p/redmi-13c-1435299721/
phone_recycle,1 hour ago,AQUOS wish5 6G 128G 藍 板橋 X1936,3300,Lightly used,https://tw.carousell.com/p/aquos-wish5-1435299378/
phone_recycle,1 hour ago,Redmi Note 12 5G 8G 256GB 灰 板橋 X1934,3000,Lightly used,https://tw.carousell.com/p/redmi-note-12-5g-1435299263/
phone_recycle,1 hour ago,Redmi 15 4G 6G 128GB 紫色 保固內 板橋 X1933,3500,Lightly used,https://tw.carousell.com/p/redmi-15-4g-1435299076/
c.c.an,1 hour ago,11pro 64 黑 誠可議,4600,Lightly used,https://tw.carousell.com/p/11pro-64-1435298483/
capslock400pp,2 hours ago,iPhone 12 mini 64g,5000,Lightly used,https://tw.carousell.com/p/i-phone-12-mini-64g-1435293508/
capslock400pp,2 hours ago,iPhone 11 64g,4500,Lightly used,https://tw.carousell.com/p/i-phone-11-64g-1435290638/
racc6866,2 hours ago,OPPO Watch X2 岩黑 台灣公司貨,5000,Lightly used,https://tw.carousell.com/p/oppo-watch-x2-1435290350/
phone_recycle,2 hours ago,Redmi 12 5G 8+256GB 藍 板橋 X1930,2500,Lightly used,https://tw.carousell.com/p/redmi-12-5g-1435290165/
.r.u.,2 hours ago,紅米note 14 5G 8+256,4500,Well used,https://tw.carousell.com/p/redmi-note-14-5g-1435289500/
phone_recycle,2 hours ago,realme GT 大師版 8G 128GB 灰 板橋 X1923,3200,Lightly used,https://tw.carousell.com/p/realme-gt-1435289270/
phone_recycle,2 hours ago,VIVO Y29S 5G 6G 128G 銀 保固202606 板橋 X1959,3000,Well used,https://tw.carousell.com/p/vivo-y29s-5g-1435289168/
capslock400pp,2 hours ago,iPhone Xs 256g,4000,Lightly used,https://tw.carousell.com/p/xs-256g-1435289107/
phone_recycle,2 hours ago,VIVO Y39 5G 8+256GB 藍色 保固內 板橋 X1957,3600,Lightly used,https://tw.carousell.com/p/vivo-y39-5g-1435288970/
phone_recycle,2 hours ago,小米 10T 5G 4G 128G 藍 板橋 X1480,2800,Well used,https://tw.carousell.com/p/xiaomi-10t-5g-1435288100/
phone_recycle,3 hours ago,SAMSUNG A15 4G 128G 藍 板橋 X2346,3200,Lightly used,https://tw.carousell.com/p/samsung-a15-1435287889/
goldenfox.1f88e4,3 hours ago,AirPods 4 主動式降噪款 全新,4800,Brand new,https://tw.carousell.com/p/airpods-4-1435287586/
jacksony0918,3 hours ago,HUAWEI WATCH GT3 Pro 46mm 鈦金屬 藍寶石,4999,Lightly used,https://tw.carousell.com/p/huawei-watch-gt3-pro-1435287297/
qqq7276185,3 hours ago,iPhone 12 mini 256g,4700,Like new,https://tw.carousell.com/p/iphone-12-mini-256g-1435286346/
phone_recycle,3 hours ago,iPhone SE3 64G 黑色 板橋 X2189,4500,Lightly used,https://tw.carousell.com/p/iphone-se3-64g-1435285895/
phone_recycle,3 hours ago,ASUS ZenFone 6 8G 512G 黑 X2130,3000,Well used,https://tw.carousell.com/p/asus-zenfone-6-1435285021/
phone_recycle,3 hours ago,OPPO Reno10 PRO 5G 12G 256G 紫色 板橋 X1894,3900,Heavily used,https://tw.carousell.com/p/oppo-reno10-pro-1435284677/
phone_recycle,3 hours ago,SAMSUNG A52 5G 8G 256G 紫色 新埔 X2110,2800,Lightly used,https://tw.carousell.com/p/samsung-a52-5g-purple-1435283844/
phone_recycle,3 hours ago,OPPO Reno8Z 5G 8G 128G 黑色 板橋 X1916,2800,Well used,https://tw.carousell.com/p/oppo-reno8z-5g-1435283463/
qqq7276185,3 hours ago,iPhone 12 128g,4850,Like new,https://tw.carousell.com/p/iphone-12-128g-1435283451/
phone_recycle,3 hours ago,OPPO Reno8Z 5G 8G 128G 黑色 板橋 X1915,2600,Heavily used,https://tw.carousell.com/p/oppo-reno8z-5g-1435283304/
phone_recycle,3 hours ago,OPPO Reno8T 5G 8G 256G 金 板橋 X1914,2500,Heavily used,https://tw.carousell.com/p/oppo-reno8t-5g-gold-1435283134/
phone_recycle,3 hours ago,OPPO Reno8T 5G 8G 256G 黑 板橋 X1913,3000,Lightly used,https://tw.carousell.com/p/oppo-reno8t-5g-black-1435283033/
phone_recycle,3 hours ago,OPPO Reno7 5G 8G 256G 藍 板橋 X1907,2800,Lightly used,https://tw.carousell.com/p/oppo-reno7-5g-1435282905/
phone_recycle,3 hours ago,OPPO Reno 7 5G 8G 256G 藍 板橋 X1908,2500,Lightly used,https://tw.carousell.com/p/oppo-reno-7-5g-1435282824/
phone_recycle,3 hours ago,SAMSUNG A52 5G 8G 256G 藍色 新埔 X2220,2800,Lightly used,https://tw.carousell.com/p/samsung-a52-5g-blue-1435282714/
phone_recycle,3 hours ago,SAMSUNG A52 5G 8G 256G 白色 新埔 X2219,2800,Well used,https://tw.carousell.com/p/samsung-a52-5g-white-1435282594/
qqq7276185,3 hours ago,iPhone 11 64g,3000,Like new,https://tw.carousell.com/p/iphone-11-64g-1435282423/
phone_recycle,3 hours ago,OPPO Reno8 5G 8G 256G 金色 板橋 X1909,3200,Lightly used,https://tw.carousell.com/p/oppo-reno8-5g-gold-1435282212/
phone_recycle,3 hours ago,OPPO Reno8 5G 8G 256G 黑色 板橋 X1910,3000,Lightly used,https://tw.carousell.com/p/oppo-reno8-5g-black-1435282127/
chineming03,3 hours ago,OPPO Reno8 12G/256GB 蘆洲實體店 24892,3900,Like new,https://tw.carousell.com/p/oppo-reno8-12g-1435281083/
chan_850725,3 hours ago,OPPO Reno8 12G/256GB 蘆洲實體店 24892,3900,Like new,https://tw.carousell.com/p/oppo-reno8-12g-1435281080/
chan_850725,3 hours ago,SAMSUNG Galaxy A53 5G 8G/256GB 蘆洲實體店 Y591,3500,Like new,https://tw.carousell.com/p/samsung-galaxy-a53-5g-1435279668/
chineming03,3 hours ago,SAMSUNG Galaxy A53 5G 8G/256GB 蘆洲實體店 Y591,3500,Like new,https://tw.carousell.com/p/samsung-galaxy-a53-5g-1435279660/
chan_850725,3 hours ago,小米 Redmi 14C 4G/128GB 蘆洲實體店 25298,3000,Like new,https://tw.carousell.com/p/redmi-14c-1435279268/
chineming03,3 hours ago,小米 Redmi 14C 4G/128GB 蘆洲實體店 25298,3000,Like new,https://tw.carousell.com/p/redmi-14c-1435279264/
chan_850725,3 hours ago,SAMSUNG Galaxy Tab A7 LITE WIFI 64GB 蘆洲實體店 Y639,2900,Like new,https://tw.carousell.com/p/samsung-galaxy-tab-a7-lite-1435279013/
chineming03,3 hours ago,SAMSUNG Galaxy Tab A7 LITE WIFI 64GB 蘆洲實體店 Y639,2900,Like new,https://tw.carousell.com/p/samsung-galaxy-tab-a7-lite-1435279009/
chan_850725,4 hours ago,Apple iPhone X 64G 黑色 蘆洲實體店 L0126,3000,Like new,https://tw.carousell.com/p/apple-iphone-x-64g-1435277860/
chineming03,4 hours ago,Apple iPhone X 64G 黑色 蘆洲實體店 L0126,3000,Like new,https://tw.carousell.com/p/apple-iphone-x-64g-1435277853/
anan12345678,4 hours ago,Google Pixel 5 8GB/128GB 5G 6吋,3000,Heavily used,https://tw.carousell.com/p/google-pixel-5-1435275156/
applery,4 hours ago,iPhone11 紫128g,3200,Well used,https://tw.carousell.com/p/iphone11-purple-128g-1435272186/
b1213520530-41379,5 hours ago,iPhone 11 128G 紫 電池97% 台中實體店面 4232,5000,Like new,https://tw.carousell.com/p/iphone-11-128g-purple-1435268451/
elba_digital888,5 hours ago,iPhone 12 128G 黑色 彰化店 E0F0X,4700,Heavily used,https://tw.carousell.com/p/iphone-12-128g-1435267018/
twinkletainan,5 hours ago,vivo V29 12+256GB 繁星紫 9成新 台南實體店,3300,Heavily used,https://tw.carousell.com/p/vivo-v29-1435262754/
elba_digital888,5 hours ago,Samsung Z Flip5 8G/256G 薰衣草紫 大里店 31S1Z,3500,Heavily used,https://tw.carousell.com/p/samsung-z-flip5-1435261470/
elba_digital888,6 hours ago,REALME C61 4G/128G 黑 大里店 0024F,2500,Heavily used,https://tw.carousell.com/p/realme-c61-1435260905/
newwater.afff8f,6 hours ago,LG Velvet 5G 6G 128G like new,2799,Lightly used,https://tw.carousell.com/p/lg-velvet-5g-1435259994/
elba_digital888,6 hours ago,Apple Watch S7 GPS 45MM 星光色 中壢店 Q407T,4000,Lightly used,https://tw.carousell.com/p/apple-watch-s7-1435255995/
poi90088,6 hours ago,iPad 5 128G WiFi版 9.7吋 電池84%,2500,Like new,https://tw.carousell.com/p/ipad-5-128g-1435255192/
joycely.yang,7 hours ago,Samsung Galaxy S21 Ultra 12G/256G 限時特價 54079,3645,Heavily used,https://tw.carousell.com/p/samsung-galaxy-s21-ultra-1434881086/
qqyuuu,7 hours ago,Redmi Pad SE 11吋 護眼螢幕平板 台灣公司貨,4000,Like new,https://tw.carousell.com/p/redmi-pad-se-1435243998/
elba_digital888,8 hours ago,vivo Y100 8G/256G 5G 晶鑽黑 漢口店 60799,4000,Heavily used,https://tw.carousell.com/p/vivo-y100-1435238945/
elba_digital888,8 hours ago,iPhone 11 64G 黑 錦州店 NN735,4000,Well used,https://tw.carousell.com/p/iphone-11-64g-1435237046/
elba_digital888,8 hours ago,iPhone 11 PRO MAX 64G 夜幕綠 漢口店 5N701,5000,Heavily used,https://tw.carousell.com/p/iphone-11-pro-max-1435236911/
joshua123983638,8 hours ago,OPPO A6s 5G 128gb,4200,Brand new,https://tw.carousell.com/p/oppo-a6s-5g-1435235361/
elba_digital888,8 hours ago,Apple HomePod 一代 白 澳版 漢口店 6J265,4000,Heavily used,https://tw.carousell.com/p/apple-homepod-1435233257/
elba_digital888,8 hours ago,iPhone 11 128G 紫 岡山店 ZN73J,3900,Heavily used,https://tw.carousell.com/p/iphone-11-128g-purple-1435231717/
cheyyun1213,8 hours ago,iPhone 12 128G 黑色,5000,Well used,https://tw.carousell.com/p/iphone-12-128g-black-1435231085/
cheyyun1213,8 hours ago,Apple Watch S8 白,4000,Like new,https://tw.carousell.com/p/apple-watch-s8-1435230718/
phoneshop,9 hours ago,Samsung Galaxy Note 10+ 12G/256G 展示機出清,4500,Lightly used,https://tw.carousell.com/p/samsung-galaxy-note-10-plus-1435225554/
mina520530,9 hours ago,Apple iPhone 12 128GB 紫色 9成新,4900,Lightly used,https://tw.carousell.com/p/apple-iphone-12-128gb-1435225408/
phoneshop,9 hours ago,Samsung Galaxy Note 10+ 12G/256G 優質美機 藍,4500,Lightly used,https://tw.carousell.com/p/samsung-galaxy-note-10-plus-blue-1435224444/
hms60815,9 hours ago,陸版 OPPO Reno8 12g+256g,3000,Lightly used,https://tw.carousell.com/p/oppo-reno8-cn-1435223568/
phoneshop,9 hours ago,vivo Y100 5G 8G/256G 展示機出清 莫內紫,4500,Lightly used,https://tw.carousell.com/p/vivo-y100-5g-1435222992/
hh775001,10 hours ago,Apple Watch Ultra 49mm 黑色鈦金屬米蘭式錶環,3800,Like new,https://tw.carousell.com/p/apple-watch-ultra-band-1435217933/
guoguo.shop,10 hours ago,iPad 6 2018 32G WiFi 太空灰 電池92%,2500,Lightly used,https://tw.carousell.com/p/ipad-6-2018-32g-1435216126/
wow_cena,10 hours ago,小米 POCO X4 Pro 256g 藍色 空機,3000,Well used,https://tw.carousell.com/p/poco-x4-pro-1435215838/
elba_digital888,10 hours ago,Apple Watch S8 45mm LTE 星光色 屏東店 C2VF4,5000,Lightly used,https://tw.carousell.com/p/apple-watch-s8-lte-1435214307/
elba_digital888,10 hours ago,Apple Watch SE2 44mm GPS 午夜色 保固中 屏東店,5000,Like new,https://tw.carousell.com/p/apple-watch-se2-1435213556/
guoguo.shop,10 hours ago,iPad 6 2018 128G WiFi 太空灰 電池88%,4300,Like new,https://tw.carousell.com/p/ipad-6-2018-128g-1435213506/
guoguo.shop,10 hours ago,iPad 6 2018 32G LTE 玫瑰金 電池97%,4000,Like new,https://tw.carousell.com/p/ipad-6-2018-32g-lte-1435213077/
guoguo.shop,10 hours ago,iPad 6 2018 32G WiFi 太空灰 電池94%,3500,Like new,https://tw.carousell.com/p/ipad-6-2018-32g-wifi-1435212713/
elba_digital888,10 hours ago,iPad Magic Keyboard 12.9吋 屏東店 9KR9C,5000,Lightly used,https://tw.carousell.com/p/ipad-magic-keyboard-1435212689/
tommyzi,12 days ago,"Air pods pro 2",2500,Like new,mobile-phones
hyw_0104,15 days ago,"iPhone 11 pro 64黑 臉部辨識不能用",2800,Like new,mobile-phones
yen_huanng,4 days ago,"Boox文石 Palma 6.13吋手機型電子書閱讀器",4200,Like new,mobile-phones
clinxh,25 days ago,"文石閱讀器 Poke 5",3800,Lightly used,mobile-phones
baigung3637,2 days ago,"近全新 文石 Boox Page 7吋電子書閱讀器",4700,Like new,mobile-phones
hyw_0104,5 months ago,"samsung flip5 12+256 黑",5000,Like new,mobile-phones
ruby-x654000,2 months ago,"三星 A35 8/128G 機況良好",5000,Like new,mobile-phones
sarah6209,23 days ago,"SAMSUNG Galaxy A35 5G 6+128G 紫色 實體門市 A5356",5000,Like new,mobile-phones
newwater.afff8f,6 hours ago,"LG velvet 5G 6G 128G",2799,Lightly used,mobile-phones
just.lumithings,8 days ago,"Insta360 Flow 2 Pro 旗艦雲台",3000,Like new,mobile-phones
sarah6209,1 day ago,"SAMSUNG Galaxy S20 FE 5G 6+128G 藍色 實體門市 A5533",3000,Like new,mobile-phones
unopened,11 months ago,"Apple watch s8",5000,Like new,mobile-phones
carrot_chen,1 day ago,"Apple Watch SE2 SE 2 GPS 40mm 星光色",3900,Lightly used,mobile-phones
zwm6k9qrtr52320,12 hours ago,"Apple Watch SE 第一代",3500,Lightly used,mobile-phones
_ooooolga,1 day ago,"Apple Watch Series 5",3000,Lightly used,mobile-phones
karokpru,15 days ago,"三星note10+ 12G/256G",4000,Lightly used,mobile-phones
chayo,15 days ago,"Motorola edge 50 pro",4500,Like new,mobile-phones
